sasdate,Actual inflation,OLS_Predicted,SVR_Predicted,XGBoost_Predicted,Randomforest_Predicted
05-20,-0.0875068420556068,-0.2697922128866933,-0.0778891385454891,0.012655677,0.14484885323511112
06-20,0.4359922203969191,0.4649386557555988,0.310029780490374,0.44923678,0.1934297433311361
07-20,0.5014915490888505,0.7205314377623486,0.4559895200939807,0.37967438,0.317957901760918
08-20,0.4377152340389934,0.3600703416045712,0.4263880179880596,0.29139718,0.14000601240714686
09-20,0.2379486722588808,0.30988759246167574,0.2368850411108424,0.27883673,0.16211997618547166
10-20,0.0987863201713956,0.022329242818983214,0.10112599918025081,0.23321037,0.06026039770140397
11-20,0.2022648977134444,0.19084915485007486,0.10519339358012343,0.29611593,0.10396259413294824
12-20,0.4674407189339646,0.16686574954107417,0.25756757162732197,0.34418684,0.21256053740509764
01-21,0.234426477466787,0.463132100766176,0.4244062519726065,0.36736953,0.2823807477135569
02-21,0.3754602653512684,0.19239214029065083,0.30164158620020354,0.3689877,0.1737943648976884
03-21,0.4828294960146806,0.23649338045611318,0.24359219809972862,0.5634109,0.46842389001569357
04-21,0.6606693908063122,0.09402453808625241,0.29614016215725747,0.22772329,0.027312952793007952
05-21,0.6630387166283391,0.27080948395289123,0.3349335233490657,0.33805075,0.26310129620169476
06-21,0.7847863017615531,0.33708061235977604,0.295142728318607,0.37886697,0.3064189307569424
07-21,0.4443853508005801,0.31577800911008136,0.24430806046832812,0.31655216,0.22431256340189606
08-21,0.4061448680480417,0.0560261900153258,0.01649151752308728,0.2508713,0.06485940751290971
09-21,0.4234799653993981,0.24099987982114934,0.2581921146037973,0.29062405,0.19009653844126104
10-21,0.9060092852727132,0.22620080940923837,0.1795969043141591,0.35797504,0.22140647090995438
11-21,0.7885018871266247,0.3795488949532451,0.4179329970665735,0.36782467,0.30741074604903046
12-21,0.777705055230804,0.23581027406561716,0.25506679280388495,0.27484152,0.142122572286611
01-22,0.6076478449374534,0.244040056883146,0.22607339078633742,0.35551363,0.26342225977443257
02-22,0.7090890399147121,0.4009690001218731,0.3328132417757802,0.4056009,0.3713663844745794
03-22,1.000564211732069,0.2981612037039272,0.21718148428030704,0.37911984,0.3507367575643461
04-22,0.3954296461309958,0.3371522127889168,0.3208745180374264,0.4251658,0.4036545153885667
05-22,0.916404489379108,0.14180654844453894,0.12037811170613996,0.2488369,0.06039556101557406
06-22,1.1809091561473473,0.32257054538468855,0.3089518469930661,0.3511924,0.3603726589348144
07-22,-0.0339353467037284,0.4533183917239273,0.38958407815822205,0.61894447,0.657152173924974
08-22,0.2345970551210996,-0.12612103355641208,-0.26800859232844476,0.052031934,-0.10721484812807183
09-22,0.4119230166885756,0.32658198073672084,0.42619983965127983,0.35764095,0.3683821291364857
10-22,0.4871117034919159,0.43495656749338313,0.3051334607213308,0.45558763,0.5319561696270175
11-22,0.204832576624625,0.4402897438504836,0.28380366439806703,0.5088848,0.5123811025836525
12-22,0.1311940856327353,0.2677303295733761,0.16472441980019215,0.34856838,0.2687611547308898
01-23,0.5157419117210793,0.22795719081521076,0.13127697375716924,0.33469716,-0.02159060134692399
02-23,0.369322753167367,0.42676242234319683,0.4453947849993592,0.37331727,0.45594772331965494
03-23,0.0530278939141481,0.26413923663191224,0.20196084861733504,0.44240737,0.28359357200993235
04-23,0.367108821718265,0.17592871416153608,0.15764969826985548,0.26669055,0.14459975963651417
05-23,0.1240490284639683,0.4650275442639126,0.40389650486449435,0.38997698,0.3327314890492527
